osmid,x,y
173066994,-79.5543,36.3929755
173066999,-79.5543479,36.3933398
173067109,-79.5740243,36.4340153
173067158,-79.572517,36.438221
173067169,-79.777297,36.525034
173067211,-79.5676852,36.3539537
173067228,-79.5698147,36.353799
173067355,-79.6670346,36.3777067
173067431,-79.946127,36.475446
173067456,-80.0117978,36.3948524
173067603,-80.004405,36.542399
173067650,-80.0272438,36.4446994
173067690,-80.001262,36.483625
173067703,-79.998358,36.481546
173067784,-79.986966,36.326481
173067903,-79.8299368,36.5238034
173067977,-79.629347,36.357375
173067991,-79.6286813,36.3605145
173068024,-79.625756,36.363363
173068240,-79.9256962,36.4668842
173068279,-79.9264965,36.4703716
173068286,-79.756192,36.536816
173068294,-79.753886,36.537043
173068399,-79.629497,36.356567
173068437,-79.6262757,36.3601063
173068459,-79.625576,36.363155
173068614,-79.9956478,36.306892
173068667,-79.6443867,36.3239101
173068701,-79.644006,36.32768
173068750,-79.679268,36.510612
173068837,-79.665702,36.303773
173068853,-79.663104,36.306344
173068921,-79.607954,36.498387
173068954,-80.012441,36.328846
173068971,-80.009617,36.330675
173069057,-79.8626175,36.4490037
173069084,-79.9893622,36.3213983
173069116,-79.5498149,36.4535375
173069142,-79.544071,36.457245
173069161,-79.538331,36.45956
173069184,-79.976261,36.423457
173069450,-79.692601,36.535359
173069467,-79.69459,36.527789
173069470,-79.694567,36.529166
173069507,-79.776537,36.2748317
173069512,-79.7766807,36.2762739
173069531,-79.651807,36.440428
173069594,-79.6306591,36.3279595
173069595,-79.6306181,36.3287468
173069679,-79.6517899,36.2621297
173069690,-79.648832,36.264078
173069720,-79.8637943,36.4688733
173069911,-79.922524,36.501966
173070133,-79.820474,36.3444933
173070136,-79.8208799,36.3445782
173070190,-79.731282,36.32415
173070198,-79.737432,36.32807
173070236,-79.723074,36.521531
173070278,-79.8154389,36.3038227
173070288,-79.8161636,36.3010158
173070291,-79.8199705,36.301961
173070306,-79.6394996,36.5276472
173070312,-79.631087,36.5296726
173070315,-79.761028,36.517033
173070324,-79.760541,36.516417
173070329,-79.635231,36.519938
173070366,-79.6431908,36.534526
173070423,-79.9646567,36.393505
173070424,-79.9660005,36.3935325
173070445,-80.0257578,36.4279501
173070485,-79.6657092,36.5332634
173070658,-79.8548688,36.2617826
173070705,-79.9625857,36.5419032
173070776,-79.991047,36.382458
173070778,-79.990989,36.383763
173070793,-79.772481,36.501275
173070805,-79.772731,36.5009715
173070812,-79.8149765,36.360247
173070887,-79.9939168,36.3828253
173071061,-79.554978,36.440974
173071186,-79.9094972,36.3538557
173071318,-79.8159863,36.4969064
173071569,-79.742405,36.3839367
173071638,-79.7442708,36.4461951
173071658,-79.7465587,36.4413902
173071711,-79.532639,36.266007
173071731,-79.533906,36.270468
173071803,-79.5925088,36.3489032
173071806,-79.5913754,36.3464704
173072157,-79.945376,36.376567
173072177,-79.947202,36.375487
173072191,-79.7180692,36.4904579
173072210,-79.7202115,36.4887534
173072229,-79.6231425,36.3608171
173072231,-79.6229855,36.3605976
173072386,-79.7515078,36.5244368
173072393,-79.751168,36.5261289
173072839,-79.9371391,36.4170689
173072860,-79.9367381,36.4214016
173072862,-79.675596,36.289503
173073010,-79.6020969,36.4154923
173073020,-79.6018094,36.4149545
173073034,-79.9031444,36.4184056
173073041,-79.6420153,36.3264847
173073083,-79.6421342,36.3302485
173073103,-79.634006,36.539242
173073442,-79.6487856,36.3523395
173073549,-79.809583,36.367631
173073655,-79.686089,36.520959
173073696,-79.791027,36.476966
173074014,-79.9219475,36.4998451
173074032,-79.9205846,36.5023632
173074070,-79.842028,36.430417
173074232,-79.7395939,36.519456
173074364,-79.5659068,36.3402034
173074370,-79.5691726,36.3429468
173074423,-79.7455892,36.5092532
173074429,-79.7437987,36.5072989
173074440,-79.839365,36.461796
173074496,-79.9402748,36.2949571
173074540,-79.6136806,36.4322454
173074921,-79.599339,36.395817
173074947,-79.59919,36.400719
173074951,-79.599182,36.400918
173074996,-79.596659,36.405111
173075116,-79.718878,36.454146
173075279,-79.897921,36.474112
173075305,-79.653888,36.375374
173075320,-79.9304079,36.4510619
173075332,-79.93006,36.448011
173075381,-79.7448016,36.5067545
173075419,-79.610999,36.36873
173075458,-79.6259874,36.4726594
173075466,-79.626212,36.472724
173075670,-79.9106492,36.4714741
173075776,-79.900246,36.467734
173075842,-79.676465,36.331635
173075866,-79.675492,36.331915
173075980,-79.900956,36.403457
173075982,-79.903206,36.40358
173076157,-79.621312,36.510882
173076310,-79.632709,36.422839
173076440,-79.9151108,36.5117975
173076571,-79.916576,36.382481
173076636,-79.784155,36.351169
173076657,-79.789522,36.354052
173076952,-79.805933,36.420021
173077146,-79.5867724,36.4827456
173077471,-80.017603,36.290301
173077494,-80.01756,36.290724
173077554,-79.967513,36.5279309
173077559,-79.9700238,36.5262467
173077600,-79.9069625,36.4649843
173077902,-79.959464,36.458785
173078017,-79.7873459,36.277964
173078082,-79.931786,36.445483
173078092,-79.9306865,36.4429797
173078189,-79.944196,36.368927
173078209,-79.939965,36.374699
173078238,-79.941152,36.3789367
173078285,-79.9746266,36.3608107
173078309,-79.9415972,36.3748791
173078340,-79.9553247,36.3552686
173078347,-79.9534488,36.3553888
173078490,-79.946943,36.331333
173078503,-79.9465329,36.331098
173078562,-79.9760409,36.2873443
173078574,-79.9753907,36.2861528
173078644,-79.881271,36.332277
173078667,-79.969244,36.391528
173078674,-79.968975,36.391856
173078679,-79.9688071,36.3918657
173078731,-79.9301001,36.4272979
173078846,-79.5423683,36.4537038
173078865,-79.5420313,36.4539424
173079091,-79.533584,36.330053
173079357,-79.720302,36.335921
173079361,-79.720177,36.334491
173079368,-79.6441311,36.3239413
173079397,-79.6422727,36.326342
173079402,-79.6418323,36.3263677
173079444,-79.969649,36.374925
173079453,-79.969775,36.375511
173079478,-79.8110769,36.3674959
173079499,-79.8041163,36.401398
173079578,-79.9855443,36.3822502
173079799,-79.6679014,36.3796692
173080064,-79.908439,36.354627
173080089,-79.775805,36.535213
173080100,-79.7712,36.533252
173080135,-79.7783708,36.5325117
173080138,-79.7793159,36.532524
173080291,-79.6311683,36.3983337
173080448,-79.93943,36.416071
173080460,-79.6885416,36.3576479
173080481,-79.93781,36.412937
173080502,-79.937054,36.41684
173080546,-79.9369025,36.4171524
173080555,-79.9329099,36.425257
173080558,-79.93277,36.425159
173080589,-79.821131,36.405905
173080599,-79.821869,36.406587
173080654,-79.786994,36.515465
173080665,-79.7532125,36.2936046
173080671,-79.7564341,36.2922882
173080752,-79.995838,36.309505
173080767,-79.989542,36.3822524
173080770,-79.9894417,36.3843465
173080820,-79.6534893,36.382898
173080829,-79.6535771,36.3831502
173080848,-79.6536056,36.3827528
173080857,-79.6536586,36.3830861
173080872,-80.003668,36.479165
173080880,-80.004205,36.477864
173080885,-79.63048,36.3135603
173080936,-79.643915,36.327625
